455.04, 2.14, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.78
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.78
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.78
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.8
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.8
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.8
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.8
455.04, 2.15, 735.60, 355.57, 241.16, 359.88, 0.00, 73283.8
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.87
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.88
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.88
455.05, 2.15, 735.60, 355.39, 241.04, 359.90, 0.28, 73283.88
455.05, 2.15, 735.60, 355.21, 241.13, 359.75, 0.61, 73283.91
455.05, 2.15, 735.60, 355.11, 241.14, 359.72, 0.65, 73283.95
455.05, 2.15, 735.60, 355.11, 241.14, 359.72, 0.69, 73283.95
455.05, 2.15, 735.60, 354.96, 241.14, 359.71, 0.69, 73284
455.05, 2.15, 735.60, 354.84, 241.17, 359.66, 0.74, 73284.04
455.05, 2.15, 735.60, 354.78, 241.22, 359.63, 0.78, 73284.09
455.05, 2.15, 735.60, 354.78, 241.22, 359.63, 0.83, 73284.09
455.05, 2.15, 735.60, 354.74, 241.28, 359.59, 0.83, 73284.13
455.05, 2.15, 735.60, 354.81, 241.31, 359.57, 0.87, 73284.17
455.05, 2.15, 735.60, 354.75, 241.36, 359.58, 0.92, 73284.22
455.05, 2.15, 735.60, 354.75, 241.36, 359.58, 0.96, 73284.22
455.05, 2.15, 735.60, 354.69, 241.38, 359.49, 0.96, 73284.27
455.05, 2.15, 735.60, 354.71, 241.41, 359.46, 1.01, 73284.3
455.05, 2.15, 735.60, 354.68, 241.49, 359.42, 1.05, 73284.35
455.05, 2.15, 735.60, 354.68, 241.49, 359.42, 1.10, 73284.35
455.05, 2.15, 735.60, 354.64, 241.57, 359.46, 1.10, 73284.4
455.05, 2.15, 735.60, 354.65, 241.61, 359.45, 1.14, 73284.45
455.05, 2.15, 735.60, 354.65, 241.61, 359.45, 1.14, 73284.45
